"id","name","nb_jlm2017","tx_jlm2017","abstention","exprimés"
"75101","Paris 1er arrondissement",1231,13.64,1646,9026
"75102","Paris 2ème arrondissement",1802,15.96,1937,11292
"75103","Paris 3ème arrondissement",3078,16.65,2997,18485
"75104","Paris 4ème arrondissement",2329,15.42,2622,15106
"75105","Paris 5ème arrondissement",4960,16,4684,31008
"75106","Paris 6ème arrondissement",2038,9.13,3294,22332
"75107","Paris 7ème arrondissement",1552,5.58,4021,27798
"75108","Paris 8ème arrondissement",1392,6.73,3286,20698
"75109","Paris 9ème arrondissement",4783,14.52,5172,32940
"75110","Paris 10ème arrondissement",11396,25.46,8788,44766
"75111","Paris 11ème arrondissement",17877,23.76,13383,75237
"75112","Paris 12ème arrondissement",15613,20.8,14368,75050
"75113","Paris 13ème arrondissement",21681,24.46,18594,88639
"75114","Paris 14ème arrondissement",13382,19.27,12752,69461
"75115","Paris 15ème arrondissement",15608,13.12,21099,118947
"75116","Paris 16ème arrondissement",4315,5.4,13937,79954
"75117","Paris 17ème arrondissement",10677,12.94,14564,82482
"75118","Paris 18ème arrondissement",23867,28.38,19499,84099
"75119","Paris 19ème arrondissement",24455,30.7,21759,79665
"75120","Paris 20ème arrondissement",28512,31.83,21798,89574
"77001","Achères-la-Forêt",93,12.76,134,729
"77002","Amillis",71,14.98,78,474
"77003","Amponville",37,14.51,46,255
"77004","Andrezel",29,13.3,30,218
"77005","Annet-sur-Marne",264,15.05,287,1754
"77006","Arbonne-la-Forêt",88,15.91,140,553
"77007","Argentières",27,11.49,43,235
"77008","Armentières-en-Brie",62,11.05,256,561
"77009","Arville",5,5.81,15,86
"77010","Aubepierre-Ozouer-le-Repos",81,15.58,69,520
"77011","Aufferville",60,20,80,300
"77012","Augers-en-Brie",27,13.24,45,204
"77013","Aulnoy",48,18.82,50,255
"77014","Avon",1355,20.01,1712,6773
"77015","Baby",1,1.96,10,51
"77016","Bagneaux-sur-Loing",144,19.07,211,755
"77018","Bailly-Romainvilliers",621,18.66,756,3328
"77019","Balloy",32,16.16,35,198
"77020","Bannost-Villegagnon",70,18.62,63,376
"77021","Barbey",24,20.87,15,115
"77022","Barbizon",92,9.03,234,1019
"77023","Barcy",30,16.04,30,187
"77024","Bassevelle",31,15.82,37,196
"77025","Bazoches-lès-Bray",88,16.12,110,546
"77026","Beauchery-Saint-Martin",35,15.15,42,231
"77027","Beaumont-du-Gâtinais",102,18.72,148,545
"77028","Beautheil",80,17.7,81,452
"77029","Beauvoir",21,15.44,17,136
"77030","Bellot",61,14.56,124,419
"77031","Bernay-Vilbert",98,18.67,81,525
"77032","Beton-Bazoches",53,13.8,127,384
"77033","Bezalles",23,17.16,40,134
"77034","Blandy",58,12.55,72,462
"77035","Blennes",67,18.56,61,361
"77037","Bois-le-Roi",625,15.79,843,3957
"77036","Boisdon",3,3.66,17,82
"77038","Boissettes",30,11.76,56,255
"77039","Boissise-la-Bertrand",74,11.71,133,632
"77040","Boissise-le-Roi",322,14.21,504,2266
"77041","Boissy-aux-Cailles",22,10.73,33,205
"77042","Boissy-le-Châtel",365,18.31,487,1993
"77043","Boitron",35,17.77,45,197
"77044","Bombon",116,21.28,95,545
"77045","Bougligny",64,15.61,120,410
"77046","Boulancourt",26,11.56,61,225
"77047","Bouleurs",145,16.86,234,860
"77048","Bourron-Marlotte",228,13.23,366,1724
"77049","Boutigny",74,12.21,109,606
"77050","Bransles",63,20.59,57,306
"77051","Bray-sur-Seine",187,17.61,455,1062
"77053","Brie-Comte-Robert",1472,18.45,2426,7978
"77055","Brou-sur-Chantereine",557,27.86,722,1999
"77052","Bréau",61,28.77,56,212
"77056","Burcy",21,22.58,23,93
"77057","Bussières",32,14.55,66,220
"77058","Bussy-Saint-Georges",2154,18.23,2746,11815
"77059","Bussy-Saint-Martin",59,12.77,91,462
"77060","Buthiers",69,14.97,80,461
"77061","Cannes-Ecluse",243,18.79,329,1293
"77062","Carnetin",53,21.12,48,251
"77066","Cerneux",22,12.5,43,176
"77067","Cesson",1239,21.05,1229,5887
"77068","Cessoy-en-Montois",24,16.22,21,148
"77069","Chailly-en-Bière",160,13.16,287,1216
"77070","Chailly-en-Brie",111,14.49,165,766
"77071","Chaintreaux",91,16.58,146,549
"77072","Chalautre-la-Grande",62,17.87,114,347
"77073","Chalautre-la-Petite",43,11.2,46,384
"77075","Chalifert",168,22.83,201,736
"77076","Chalmaison",100,22.68,106,441
"77077","Chambry",91,16.37,103,556
"77078","Chamigny",154,21.45,161,718
"77079","Champagne-sur-Seine",667,23.48,873,2841
"77080","Champcenest",20,16.95,26,118
"77081","Champdeuil",46,13.14,59,350
"77082","Champeaux",79,15.86,81,498
"77083","Champs-sur-Marne",3109,27.75,2993,11202
"77084","Changis-sur-Marne",145,19.52,159,743
"77085","Chanteloup-en-Brie",335,18.99,393,1764
"77094","Charmentray",27,16.88,33,160
"77095","Charny",127,17.45,115,728
"77096","Chartrettes",307,18.2,276,1687
"77097","Chartronges",20,10.31,39,194
"77335","Chauconin-Neufmontiers",286,22.14,252,1292
"77106","Chauffry",96,16.19,164,593
"77107","Chaumes-en-Brie",267,16.15,460,1653
"77108","Chelles",5864,24.6,7233,23842
"77109","Chenoise",101,13.67,161,739
"77110","Chenou",20,11.11,36,180
"77111","Chessy",460,18.76,476,2452
"77112","Chevrainvilliers",24,15.58,24,154
"77113","Chevru",111,18.26,145,608
"77114","Chevry-Cossigny",361,16.04,543,2251
"77115","Chevry-en-Sereine",45,13.93,50,323
"77116","Choisy-en-Brie",112,14.47,166,774
"77099","Château-Landon",290,18.23,517,1591
"77098","Châteaubleau",32,15.31,66,209
"77101","Châtenay-sur-Seine",87,15.34,181,567
"77102","Châtenoy",14,16.09,19,87
"77103","Châtillon-la-Borde",24,16,28,150
"77104","Châtres",66,15.21,63,434
"77117","Citry",82,17.3,94,474
"77118","Claye-Souilly",1126,17.4,1403,6470
"77119","Clos-Fontaine",42,23.6,34,178
"77120","Cocherel",54,15.84,74,341
"77121","Collégien",407,21.39,390,1903
"77122","Combs-la-Ville",2650,23.71,3400,11175
"77123","Compans",129,30.86,111,418
"77124","Conches-sur-Gondoire",159,15.09,152,1054
"77125","Condé-Sainte-Libiaire",164,18.55,148,884
"77126","Congis-sur-Thérouanne",169,18.09,216,934
"77127","Coubert",141,16.3,202,865
"77128","Couilly-Pont-aux-Dames",160,13.83,219,1157
"77129","Coulombs-en-Valois",58,15.18,74,382
"77130","Coulommes",32,11.76,45,272
"77131","Coulommiers",1360,20.39,2718,6671
"77132","Coupvray",348,19.48,334,1786
"77133","Courcelles-en-Bassée",19,13.57,29,140
"77134","Courchamp",3,3.37,10,89
"77135","Courpalay",136,16.85,195,807
"77136","Courquetaine",24,19.2,24,125
"77137","Courtacon",10,7.35,31,136
"77138","Courtomer",81,23.01,71,352
"77139","Courtry",679,19.4,938,3500
"77140","Coutençon",30,16.95,32,177
"77141","Coutevroult",109,18.92,77,576
"77145","Crisenoy",62,14.83,87,418
"77146","Croissy-Beaubourg",222,17.06,219,1301
"77148","Crouy-sur-Ourcq",180,18.61,230,967
"77144","Crèvecoeur-en-Brie",36,15.06,30,239
"77142","Crécy-la-Chapelle",385,15.71,548,2451
"77143","Crégy-lès-Meaux",583,23.51,551,2480
"77149","Cucharmoy",18,11.11,17,162
"77150","Cuisy",33,13.75,59,240
"77065","Cély",89,11.8,174,754
"77151","Dagny",19,10.11,52,188
"77152","Dammarie-les-Lys",2383,27.66,3668,8614
"77153","Dammartin-en-Goële",984,20.81,1004,4728
"77154","Dammartin-sur-Tigeaux",112,20.51,71,546
"77155","Dampmart",355,19.6,405,1811
"77156","Darvault",64,13.42,110,477
"77157","Dhuisy",24,13.64,40,176
"77158","Diant",26,16.67,20,156
"77159","Donnemarie-Dontilly",307,19.6,337,1566
"77161","Dormelles",84,16.12,116,521
"77162","Doue",121,20.07,137,603
"77163","Douy-la-Ramée",30,17.14,37,175
"77164","Echouboulains",69,20.35,49,339
