"id","commune","Hamon","Macron","Asselineau","Fillon","Cheminade","Lassalle","Mélenchon","Le.Pen","Arthaud","Dupont.Aignan","Poutou","Inscrits","Abstentions","Votants","Blancs","Nuls","Exprimés"
"75101","Paris 1er arrondissement",659,3561,58,2831,11,57,1231,443,15,128,32,10775,1646,9129,81,22,9026
"75102","Paris 2ème arrondissement",1099,5014,81,2640,17,46,1802,399,17,128,49,13360,1937,11423,101,30,11292
"75103","Paris 3ème arrondissement",1963,8325,100,3994,15,73,3078,615,47,183,92,21677,2997,18680,137,58,18485
"75104","Paris 4ème arrondissement",1370,6182,96,3956,23,83,2329,735,36,214,82,17916,2622,15294,130,58,15106
"75105","Paris 5ème arrondissement",3103,12316,222,8273,39,178,4960,1225,63,459,170,36060,4684,31376,280,88,31008
"75106","Paris 6ème arrondissement",1419,8729,126,8769,26,134,2038,719,28,268,76,25842,3294,22548,148,68,22332
"75107","Paris 7ème arrondissement",1068,8785,102,14650,23,126,1552,1064,29,324,75,32087,4021,28066,179,89,27798
"75108","Paris 8ème arrondissement",849,6568,107,10448,17,83,1392,916,23,241,54,24158,3286,20872,134,40,20698
"75109","Paris 9ème arrondissement",3163,14029,208,8879,31,150,4783,1092,61,390,154,38462,5172,33290,279,71,32940
"75110","Paris 10ème arrondissement",6343,16880,331,6724,52,211,11396,1817,125,577,310,54176,8788,45388,443,179,44766
"75111","Paris 11ème arrondissement",10247,29191,523,12136,82,340,17877,3035,201,1067,538,89660,13383,76277,777,263,75237
"75112","Paris 12ème arrondissement",8614,26942,592,15918,130,464,15613,4385,228,1661,503,90543,14368,76175,812,313,75050
"75113","Paris 13ème arrondissement",10511,30719,939,15329,164,540,21681,5745,355,1893,763,108815,18594,90221,1099,483,88639
"75114","Paris 14ème arrondissement",8003,25834,568,15475,119,366,13382,3711,210,1333,460,83195,12752,70443,718,264,69461
"75115","Paris 15ème arrondissement",9085,42790,928,40235,149,663,15608,6257,259,2404,569,141629,21099,120530,1125,458,118947
"75116","Paris 16ème arrondissement",2353,21304,374,46734,62,252,4315,3273,65,1078,144,94558,13937,80621,443,224,79954
"75117","Paris 17ème arrondissement",5669,28423,533,31103,107,374,10677,3786,145,1327,338,98018,14564,83454,731,241,82482
"75118","Paris 18ème arrondissement",11211,28437,807,12222,145,459,23867,4595,265,1323,768,104995,19499,85496,1006,391,84099
"75119","Paris 19ème arrondissement",10352,23578,781,12977,119,410,24455,4602,355,1334,702,102806,21759,81047,933,449,79665
"75120","Paris 20ème arrondissement",12469,27399,861,11451,141,481,28512,5305,370,1665,920,112905,21798,91107,1071,462,89574
"77001","Achères-la-Forêt",22,181,7,210,1,5,93,156,2,50,2,886,134,752,17,6,729
"77002","Amillis",14,63,5,99,1,4,71,176,4,35,2,568,78,490,10,6,474
"77003","Amponville",9,62,3,58,0,3,37,67,0,12,4,308,46,262,5,2,255
"77004","Andrezel",15,49,4,46,0,2,29,59,0,12,2,250,30,220,2,0,218
"77005","Annet-sur-Marne",90,360,15,409,1,9,264,462,8,123,13,2088,287,1801,31,16,1754
"77006","Arbonne-la-Forêt",16,120,5,170,2,6,88,106,3,31,6,698,140,558,5,0,553
"77007","Argentières",8,59,2,54,1,0,27,68,2,14,0,284,43,241,6,0,235
"77008","Armentières-en-Brie",19,96,2,178,1,4,62,166,2,25,6,832,256,576,13,2,561
"77009","Arville",0,11,0,26,1,2,5,28,3,7,3,103,15,88,2,0,86
"77010","Aubepierre-Ozouer-le-Repos",24,86,3,114,0,5,81,162,2,35,8,599,69,530,9,1,520
"77011","Aufferville",9,60,0,57,0,2,60,85,3,21,3,390,80,310,8,2,300
"77012","Augers-en-Brie",5,42,7,43,0,0,27,68,1,8,3,255,45,210,6,0,204
"77013","Aulnoy",5,58,0,77,0,0,48,47,0,18,2,308,50,258,3,0,255
