"","link","name","nb_jlm2017","tx_jlm2017","abstention","exprimés"
"1","075/075056AR01.html","Paris 1er arrondissement",1231,13.64,1646,9026
"2","075/075056AR02.html","Paris 2ème arrondissement",1802,15.96,1937,11292
"3","075/075056AR03.html","Paris 3ème arrondissement",3078,16.65,2997,18485
"4","075/075056AR04.html","Paris 4ème arrondissement",2329,15.42,2622,15106
"5","075/075056AR05.html","Paris 5ème arrondissement",4960,16,4684,31008
"6","075/075056AR06.html","Paris 6ème arrondissement",2038,9.13,3294,22332
"7","075/075056AR07.html","Paris 7ème arrondissement",1552,5.58,4021,27798
"8","075/075056AR08.html","Paris 8ème arrondissement",1392,6.73,3286,20698
"9","075/075056AR09.html","Paris 9ème arrondissement",4783,14.52,5172,32940
"10","075/075056AR10.html","Paris 10ème arrondissement",11396,25.46,8788,44766
"11","075/075056AR11.html","Paris 11ème arrondissement",17877,23.76,13383,75237
"12","075/075056AR12.html","Paris 12ème arrondissement",15613,20.8,14368,75050
"13","075/075056AR13.html","Paris 13ème arrondissement",21681,24.46,18594,88639
"14","075/075056AR14.html","Paris 14ème arrondissement",13382,19.27,12752,69461
"15","075/075056AR15.html","Paris 15ème arrondissement",15608,13.12,21099,118947
"16","075/075056AR16.html","Paris 16ème arrondissement",4315,5.4,13937,79954
"17","075/075056AR17.html","Paris 17ème arrondissement",10677,12.94,14564,82482
"18","075/075056AR18.html","Paris 18ème arrondissement",23867,28.38,19499,84099
"19","075/075056AR19.html","Paris 19ème arrondissement",24455,30.7,21759,79665
"20","075/075056AR20.html","Paris 20ème arrondissement",28512,31.83,21798,89574
"21","077/077001.html","Achères-la-Forêt",93,12.76,134,729
"22","077/077002.html","Amillis",71,14.98,78,474
"23","077/077003.html","Amponville",37,14.51,46,255
"24","077/077004.html","Andrezel",29,13.3,30,218
"25","077/077005.html","Annet-sur-Marne",264,15.05,287,1754
"26","077/077006.html","Arbonne-la-Forêt",88,15.91,140,553
"27","077/077007.html","Argentières",27,11.49,43,235
"28","077/077008.html","Armentières-en-Brie",62,11.05,256,561
"29","077/077009.html","Arville",5,5.81,15,86
"30","077/077010.html","Aubepierre-Ozouer-le-Repos",81,15.58,69,520
"31","077/077011.html","Aufferville",60,20,80,300
"32","077/077012.html","Augers-en-Brie",27,13.24,45,204
"33","077/077013.html","Aulnoy",48,18.82,50,255
"34","077/077014.html","Avon",1355,20.01,1712,6773
"35","077/077015.html","Baby",1,1.96,10,51
"36","077/077016.html","Bagneaux-sur-Loing",144,19.07,211,755
"37","077/077018.html","Bailly-Romainvilliers",621,18.66,756,3328
"38","077/077019.html","Balloy",32,16.16,35,198
"39","077/077020.html","Bannost-Villegagnon",70,18.62,63,376
"40","077/077021.html","Barbey",24,20.87,15,115
"41","077/077022.html","Barbizon",92,9.03,234,1019
"42","077/077023.html","Barcy",30,16.04,30,187
"43","077/077024.html","Bassevelle",31,15.82,37,196
"44","077/077025.html","Bazoches-lès-Bray",88,16.12,110,546
"45","077/077026.html","Beauchery-Saint-Martin",35,15.15,42,231
"46","077/077027.html","Beaumont-du-Gâtinais",102,18.72,148,545
"47","077/077028.html","Beautheil",80,17.7,81,452
"48","077/077029.html","Beauvoir",21,15.44,17,136
"49","077/077030.html","Bellot",61,14.56,124,419
